fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
1657,person,0.78,127,71,258,170,472,N/A,0.0,0,0,0,0,N/A
1657,car,0.93,198,192,272,891,669,matricula,0.14,249,555,405,591,N/A
1657,car,0.60,208,1233,292,1402,452,matricula,0.49,1303,401,1352,414,N/A
1657,car,0.54,187,1414,322,1513,379,N/A,0.0,0,0,0,0,N/A
1657,car,0.73,217,1107,308,1196,375,N/A,0.0,0,0,0,0,N/A
1657,car,0.43,227,979,305,1083,342,N/A,0.0,0,0,0,0,N/A
1657,person,0.48,214,1690,325,1733,405,N/A,0.0,0,0,0,0,N/A
1658,person,0.74,127,67,259,153,464,N/A,0.0,0,0,0,0,N/A
1658,car,0.95,198,92,268,870,702,N/A,0.0,0,0,0,0,N/A
1658,car,0.69,208,1234,292,1406,455,matricula,0.34,1307,405,1354,418,N/A
1658,car,0.53,187,1412,322,1513,379,N/A,0.0,0,0,0,0,N/A
1658,car,0.73,217,1106,306,1193,377,N/A,0.0,0,0,0,0,N/A
1658,car,0.46,227,979,305,1083,342,N/A,0.0,0,0,0,0,N/A
1658,person,0.62,125,870,285,900,375,N/A,0.0,0,0,0,0,N/A
1659,person,0.74,127,61,260,139,433,N/A,0.0,0,0,0,0,N/A
1659,car,0.94,198,21,261,845,737,N/A,0.0,0,0,0,0,N/A
1659,car,0.78,208,1233,291,1410,458,matricula,0.14,1309,405,1359,419,N/A
1659,car,0.52,187,1407,322,1513,379,N/A,0.0,0,0,0,0,N/A
1659,car,0.68,217,1103,306,1193,378,N/A,0.0,0,0,0,0,N/A
1659,car,0.46,227,979,304,1082,342,N/A,0.0,0,0,0,0,N/A
1659,person,0.61,125,871,285,900,374,N/A,0.0,0,0,0,0,N/A
1660,car,0.93,198,0,254,818,782,N/A,0.0,0,0,0,0,N/A
1660,car,0.80,208,1233,290,1416,461,N/A,0.0,0,0,0,0,N/A
1660,car,0.51,187,1405,322,1513,379,N/A,0.0,0,0,0,0,N/A
1660,car,0.67,217,1102,306,1191,378,N/A,0.0,0,0,0,0,N/A
1660,car,0.46,227,984,303,1081,343,N/A,0.0,0,0,0,0,N/A
1660,person,0.57,125,871,285,900,373,N/A,0.0,0,0,0,0,N/A
1660,car,0.40,229,981,301,1041,338,N/A,0.0,0,0,0,0,N/A
1661,car,0.92,198,0,250,785,846,N/A,0.0,0,0,0,0,N/A
1661,car,0.83,208,1234,289,1421,463,N/A,0.0,0,0,0,0,N/A
1661,car,0.54,187,1408,322,1513,380,N/A,0.0,0,0,0,0,N/A
1661,car,0.68,217,1100,306,1188,379,N/A,0.0,0,0,0,0,N/A
1661,car,0.44,227,986,303,1080,343,N/A,0.0,0,0,0,0,N/A
1661,person,0.60,125,871,286,900,373,N/A,0.0,0,0,0,0,N/A
1661,person,0.44,182,830,283,859,374,N/A,0.0,0,0,0,0,N/A
1661,person,0.53,214,1697,330,1738,403,N/A,0.0,0,0,0,0,N/A
1662,car,0.92,198,0,246,753,914,N/A,0.0,0,0,0,0,N/A
1662,car,0.81,208,1235,289,1428,467,N/A,0.0,0,0,0,0,N/A
1662,car,0.55,187,1411,322,1512,379,N/A,0.0,0,0,0,0,N/A
1662,car,0.72,217,1098,308,1188,380,N/A,0.0,0,0,0,0,N/A
1662,car,0.44,227,987,303,1079,343,N/A,0.0,0,0,0,0,N/A
1662,person,0.54,125,872,286,900,372,N/A,0.0,0,0,0,0,N/A
1662,person,0.45,182,831,285,861,373,N/A,0.0,0,0,0,0,N/A
1662,person,0.57,214,1698,328,1742,405,N/A,0.0,0,0,0,0,N/A
1663,car,0.91,198,0,237,714,1004,N/A,0.0,0,0,0,0,N/A
1663,car,0.80,208,1236,288,1435,470,N/A,0.0,0,0,0,0,N/A
1663,car,0.57,187,1416,321,1512,379,N/A,0.0,0,0,0,0,N/A
1663,car,0.74,217,1095,308,1186,381,N/A,0.0,0,0,0,0,N/A
1663,car,0.46,227,984,304,1079,342,N/A,0.0,0,0,0,0,N/A
1663,person,0.55,125,872,287,900,373,N/A,0.0,0,0,0,0,N/A
1663,person,0.45,182,831,286,863,375,N/A,0.0,0,0,0,0,N/A
1663,person,0.57,214,1699,327,1745,406,N/A,0.0,0,0,0,0,N/A
1663,car,0.41,229,981,301,1042,338,N/A,0.0,0,0,0,0,N/A
1664,car,0.92,198,0,237,668,995,N/A,0.0,0,0,0,0,N/A
1664,car,0.83,208,1238,288,1443,473,matricula,0.43,1332,413,1385,433,N/A
1664,car,0.58,187,1419,322,1512,379,N/A,0.0,0,0,0,0,N/A
1664,car,0.74,217,1092,308,1185,383,N/A,0.0,0,0,0,0,N/A
1664,car,0.43,227,982,305,1078,342,N/A,0.0,0,0,0,0,N/A
1664,person,0.40,125,872,287,900,372,N/A,0.0,0,0,0,0,N/A
1664,person,0.58,214,1700,325,1748,406,N/A,0.0,0,0,0,0,N/A
1664,car,0.40,229,981,301,1045,338,N/A,0.0,0,0,0,0,N/A
1665,car,0.89,198,0,232,612,978,N/A,0.0,0,0,0,0,N/A
1665,car,0.82,208,1238,287,1449,475,matricula,0.52,1337,417,1392,434,N/A
1665,car,0.57,187,1425,322,1512,379,N/A,0.0,0,0,0,0,N/A
1665,car,0.75,217,1090,307,1184,383,N/A,0.0,0,0,0,0,N/A
1665,car,0.43,227,981,305,1077,342,N/A,0.0,0,0,0,0,N/A
1665,person,0.51,214,1704,326,1749,406,N/A,0.0,0,0,0,0,N/A
1665,car,0.41,229,980,300,1046,338,N/A,0.0,0,0,0,0,N/A
1666,car,0.91,198,0,226,550,970,N/A,0.0,0,0,0,0,N/A
1666,car,0.80,208,1240,287,1456,478,matricula,0.75,1343,422,1398,437,N/A
1666,car,0.65,187,1432,323,1512,379,N/A,0.0,0,0,0,0,N/A
1666,car,0.78,217,1086,307,1183,383,N/A,0.0,0,0,0,0,N/A
