fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
53,persona,0.38156387,1,268,229,298,321,0,,,,,,
53,persona,0.67977834,2,392,242,416,295,0,,,,,,
53,persona,0.2961993,6,268,230,317,320,0,,,,,,
54,persona,0.3719283,1,268,229,299,321,0,,,,,,
54,persona,0.71697205,2,392,241,416,296,0,,,,,,
54,persona,0.28642714,6,269,230,317,320,0,,,,,,
55,persona,0.37522918,1,268,229,300,321,0,,,,,,
55,persona,0.70385146,2,391,240,417,296,0,,,,,,
55,persona,0.29685384,6,269,230,318,320,0,,,,,,
56,persona,0.36885223,1,268,230,301,321,0,,,,,,
56,persona,0.69885963,2,391,239,416,296,0,,,,,,
56,persona,0.29170394,6,269,230,318,320,0,,,,,,
57,persona,0.362073,1,268,230,302,321,0,,,,,,
57,persona,0.7112029,2,391,239,416,297,0,,,,,,
57,persona,0.2909484,6,269,230,319,320,0,,,,,,
58,persona,0.34719735,1,268,230,302,321,0,,,,,,
58,persona,0.7402308,2,391,240,416,297,0,,,,,,
58,persona,0.2727874,6,269,230,319,320,0,,,,,,
59,persona,0.34771362,1,269,230,304,321,0,,,,,,
59,persona,0.74530774,2,391,240,416,297,0,,,,,,
59,persona,0.28413972,6,269,230,323,321,0,,,,,,
60,persona,0.36592168,1,268,230,305,321,0,,,,,,
60,persona,0.70832366,2,390,241,416,297,0,,,,,,
60,persona,0.30800515,6,269,229,325,322,0,,,,,,
61,persona,0.33808208,1,269,230,301,321,0,,,,,,
61,persona,0.68674433,2,390,241,417,297,0,,,,,,
61,persona,0.2367983,6,269,229,326,322,0,,,,,,
62,persona,0.3385556,1,269,231,299,321,0,,,,,,
62,persona,0.68596137,2,389,241,417,296,0,,,,,,
62,persona,0.23011795,6,269,230,326,322,0,,,,,,
63,persona,0.337957,1,269,231,298,321,0,,,,,,
63,persona,0.72736025,2,390,240,417,297,0,,,,,,
63,persona,0.23229764,6,269,230,326,322,0,,,,,,
64,persona,0.33254415,1,269,231,300,321,0,,,,,,
64,persona,0.73687094,2,390,240,417,297,0,,,,,,
64,persona,0.23848975,6,269,230,326,323,0,,,,,,
65,persona,0.32759348,1,269,231,300,322,0,,,,,,
65,persona,0.7382501,2,390,240,417,298,0,,,,,,
65,persona,0.2337479,6,269,230,326,324,0,,,,,,
66,persona,0.3117419,1,269,231,301,322,0,,,,,,
66,persona,0.7061005,2,389,241,416,298,0,,,,,,
66,persona,0.21846914,6,269,230,326,324,0,,,,,,
67,persona,0.3196794,1,269,231,301,321,0,,,,,,
67,persona,0.67608756,2,389,241,416,298,0,,,,,,
67,persona,0.22767107,6,269,230,326,323,0,,,,,,
68,persona,0.32519275,1,269,231,301,322,0,,,,,,
68,persona,0.65579855,2,388,242,415,298,0,,,,,,
68,persona,0.25356895,6,269,232,326,324,0,,,,,,
69,persona,0.3294389,1,269,231,301,322,0,,,,,,
69,persona,0.6303899,2,388,242,414,298,0,,,,,,
69,persona,0.25936997,6,269,232,326,324,0,,,,,,
70,persona,0.33488125,1,269,231,302,322,0,,,,,,
70,persona,0.6739835,2,387,241,415,299,0,,,,,,
70,persona,0.26133844,6,269,232,326,324,0,,,,,,
71,persona,0.33557373,1,269,231,304,322,0,,,,,,
71,persona,0.6469322,2,387,240,415,300,0,,,,,,
71,persona,0.2920085,6,269,232,326,324,0,,,,,,
72,persona,0.32192492,1,269,231,306,322,0,,,,,,
72,persona,0.68203783,2,387,240,416,300,0,,,,,,
72,persona,0.288007,6,269,232,326,324,0,,,,,,
73,persona,0.19939281,1,269,230,303,319,0,,,,,,
73,persona,0.66809666,2,386,240,415,300,0,,,,,,
73,persona,0.33747962,6,269,231,322,323,0,,,,,,
74,persona,0.19642372,1,269,229,302,318,0,,,,,,
74,persona,0.6434295,2,386,240,415,301,0,,,,,,
74,persona,0.32049242,6,269,229,321,323,0,,,,,,
75,persona,0.1804761,1,269,228,302,316,0,,,,,,
75,persona,0.59710693,2,386,240,416,301,0,,,,,,
75,persona,0.3193443,6,269,229,322,323,0,,,,,,
76,persona,0.18315887,1,269,228,302,315,0,,,,,,
76,persona,0.6498657,2,386,240,415,301,0,,,,,,
76,persona,0.33205256,6,268,228,323,323,0,,,,,,
77,persona,0.18639506,1,269,228,301,312,0,,,,,,
77,persona,0.60761994,2,386,241,415,302,0,,,,,,
77,persona,0.32030338,6,268,228,323,323,0,,,,,,
78,persona,0.1958886,1,269,228,301,310,0,,,,,,
78,persona,0.6373143,2,386,241,415,302,0,,,,,,
78,persona,0.3300535,6,268,228,322,323,0,,,,,,
79,persona,0.1951332,1,269,228,301,311,0,,,,,,
79,persona,0.58259857,2,387,240,416,301,0,,,,,,
79,persona,0.34036228,6,268,228,321,323,0,,,,,,
80,persona,0.2028053,1,269,228,301,312,0,,,,,,
80,persona,0.54732406,2,387,240,417,301,0,,,,,,
80,persona,0.3555666,6,268,228,320,322,0,,,,,,
81,persona,0.19193543,1,269,228,302,313,0,,,,,,
81,persona,0.58179396,2,387,240,417,301,0,,,,,,
81,persona,0.35382196,6,268,228,321,323,0,,,,,,
82,persona,0.18784934,1,269,227,302,315,0,,,,,,
82,persona,0.5983977,2,387,241,417,301,0,,,,,,
82,persona,0.3583758,6,268,227,322,323,0,,,,,,
83,persona,0.19982396,1,269,227,302,317,0,,,,,,
83,persona,0.62859315,2,386,241,417,302,0,,,,,,
83,persona,0.368184,6,268,227,323,323,0,,,,,,
84,persona,0.21218477,1,269,227,302,318,0,,,,,,
84,persona,0.6541821,2,386,241,417,303,0,,,,,,
84,persona,0.37842524,6,268,227,323,323,0,,,,,,
